Info,Total Data,Treino Data,Teste Data,EQM Before,EMA Before,Pesos Otimizados,EQM After,EMA After,Num Testes,Erro Geral
Espanhol Base Percentual Treino com 0.5,3772,1886,1886,0.9123644012709805,0.7446176961651181,"[0.11630785, -0.03992774, 0.37367887]",0.9123644012709805,0.7446176961651181,1886,31.37
Espanhol Base Percentual Treino com 0.6,3772,2263,1509,0.8955450406259301,0.7456566608817318,"[0.08380737, -0.03490117, 0.45262008]",0.8955450406259301,0.7456566608817318,1509,34.88
Espanhol Base Percentual Treino com 0.7,3772,2640,1132,0.9009623533013691,0.7536192561310423,"[0.11190575, -0.03870219, 0.46193132]",0.9009623533013691,0.7536192561310423,1132,33.42
Espanhol Base Percentual Treino com 0.8,3772,3017,755,0.8702343649076508,0.7390300184755043,"[0.1076801, -0.04534353, 0.47091695]",0.8702343649076508,0.7390300184755043,755,33.72
Espanhol Base Percentual Treino com 0.9,3772,3394,378,0.8821526434402448,0.7449094405416822,"[0.10336491, -0.04858511, 0.45042231]",0.8821526434402448,0.7449094405416822,378,28.3
Espanhol Base Percentual Treino com 1,3772,3772,378,0.8634178023455499,0.7366839197212106,"[0.119936, -0.06784675, 0.45454225]",0.8634178023455499,0.7366839197212106,378,29.62
