Info,Total Data,Treino Data,Teste Data,EQM Before,EMA Before,Pesos Otimizados,EQM After,EMA After,Num Testes,Erro Geral
Espanhol Roberta Percentual Treino com 0.5,3772,1886,1886,0.9675316040076072,0.7673754901750481,"[0.20188962, -0.00574719, 0.0400049]",0.9675316040076072,0.7673754901750481,1886,21.4
Espanhol Roberta Percentual Treino com 0.6,3772,2263,1509,0.9753900248228871,0.7780061767090387,"[0.17818638, -0.00903622, 0.10669765]",0.9753900248228871,0.7780061767090387,1509,25.5
Espanhol Roberta Percentual Treino com 0.7,3772,2640,1132,0.9852065743361536,0.7866540771550347,"[0.20712357, -0.02076441, 0.11057235]",0.9852065743361536,0.7866540771550347,1132,25.02
Espanhol Roberta Percentual Treino com 0.8,3772,3017,755,0.9508267438240252,0.7734198240003282,"[0.2038557, -0.02828288, 0.16265427]",0.9508267438240252,0.7734198240003282,755,27.34
Espanhol Roberta Percentual Treino com 0.9,3772,3394,378,0.9525578064271385,0.7773684915641729,"[0.19489297, -0.03865116, 0.16862718]",0.9525578064271385,0.7773684915641729,378,23.73
Espanhol Roberta Percentual Treino com 1,3772,3772,378,0.9317385635771298,0.7687738047174502,"[0.21320186, -0.06751884, 0.17607864]",0.9317385635771298,0.7687738047174502,378,27.24
