Info,Total Data,Treino Data,Teste Data,EQM Before,EMA Before,Pesos Otimizados,EQM After,EMA After,Num Testes,Erro Geral
Inglês Base Percentual Treino com 0.5,3646,1823,1823,1.2328570816397868,0.8847069273326931,"[0.45098008, -0.15276921, 0.12693834]",1.2281168699038947,0.8823326063140576,1823,19.55
Inglês Base Percentual Treino com 0.6,3646,2187,1459,1.1772243255276267,0.8543124489843892,"[0.44587331, -0.15086292, 0.10145392]",1.1723951526827605,0.8516325834616534,1459,20.19
Inglês Base Percentual Treino com 0.7,3646,2552,1094,1.172595346067684,0.8486252641638968,"[0.46434899, -0.16217602, 0.11399002]",1.1672231745912414,0.8456257841804341,1094,19.87
Inglês Base Percentual Treino com 0.8,3646,2916,730,1.1125205808527239,0.8265874295304279,"[0.44686598, -0.17052877, 0.1459444]",1.1086132218564322,0.8242294619629158,730,21.21
Inglês Base Percentual Treino com 0.9,3646,3281,365,1.1062414215342844,0.825525127531596,"[0.4312074, -0.16808236, 0.14180736]",1.1034352241309224,0.8235807740834801,365,21.85
Inglês Base Percentual Treino com 1,3646,3646,365,1.1031745449588093,0.8282501623019782,"[0.41559304, -0.16848201, 0.15370208]",1.1013073019168331,0.8268481958652802,365,22.21
