Info,Total Data,Treino Data,Teste Data,EQM Before,EMA Before,Pesos Otimizados,EQM After,EMA After,Num Testes,Erro Geral
Inglês Large Percentual Treino com 0.5,3646,1823,1823,1.2283728284355513,0.8856975643376,"[0.45721951, -0.13924347, 0.18197164]",1.2248378720646464,0.8835467645271388,1823,18.19
Inglês Large Percentual Treino com 0.6,3646,2187,1459,1.170505576773405,0.8542953170622337,"[0.44729924, -0.13881897, 0.19301903]",1.1667097542242273,0.8518793957332941,1459,18.81
Inglês Large Percentual Treino com 0.7,3646,2552,1094,1.1684228387911866,0.847793099852295,"[0.46981321, -0.14866068, 0.18141518]",1.1641520899829445,0.8450809845934011,1094,18.37
Inglês Large Percentual Treino com 0.8,3646,2916,730,1.1100673912211738,0.8260856809404798,"[0.45303614, -0.14936951, 0.19872587]",1.1072093883943104,0.8239949637087699,730,19.32
Inglês Large Percentual Treino com 0.9,3646,3281,365,1.105390377552886,0.8254060666753228,"[0.43881231, -0.14865995, 0.17272811]",1.10339181076553,0.8237129231387542,365,20.28
Inglês Large Percentual Treino com 1,3646,3646,365,1.1071095178335155,0.8286781240702599,"[0.42999051, -0.14796439, 0.13033427]",1.1058576068802535,0.8275089714886672,365,20.53
